Id,Label,timeset,bio,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,stat_inf_class,clustering,triangles,eigencentrality
39,Harry Potter,,The boy who lived. Main character of the series.,43,0,10454,2,0.977778,0.988636,377.597222,0.344733,0.344729,0.189369,0.098469,0,0,0.189369,171,1
21,Hermione Granger,,One of Harry's best friend and marries Ron Weasley.,33,0,4869,2,0.8,0.875,124.313889,0.310166,0.310163,0.280303,0.070524,0,0,0.280303,148,0.896091
58,Ron Weasley,,Harry's best friend. Marries Hermione.,34,0,5893,2,0.814815,0.886364,130.430556,0.317076,0.317073,0.269162,0.072795,0,0,0.269162,151,0.915704
11,Albus Dumbledore,,Headmaster of Hogwards killed by Snape.,22,0,1927,2,0.666667,0.75,33.006746,0.246673,0.246672,0.428571,0.046065,0,0,0.428571,99,0.710379
1,Sirius Black,,Best friend of James Potter and godfather of Harry.,24,0,2672,2,0.6875,0.772727,37.447222,0.26946,0.269459,0.434783,0.049728,0,0,0.434783,120,0.77548
22,Rubeus Hagrid,,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,10,0,912,2,0.564103,0.613636,6.933333,0.137643,0.137644,0.6,0.023135,0,0,0.6,27,0.397744
53,Fred Weasley,,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,13,1,1340,2,0.586667,0.647727,5.961905,0.180311,0.180312,0.692308,0.027962,0,0,0.692308,54,0.518864
54,George Weasley,,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,12,1,1323,2,0.578947,0.636364,3.146429,0.175407,0.175408,0.742424,0.025462,0,0,0.742424,49,0.504463
28,Neville Longbottom,,Gryffindor student who was a member of Dumbledore's army.,15,0,895,2,0.60274,0.670455,6.201587,0.202947,0.202948,0.657143,0.031229,0,0,0.657143,69,0.583329
55,Ginny Weasley,,Marries Harry Potter and only daughter of Molly and Arthur.,13,0,1009,2,0.586667,0.647727,3.002778,0.185392,0.185392,0.74359,0.027273,0,0,0.74359,58,0.532898
34,Narcissa Malfoy,,Mother of Draco and sister of Bellatrix.,19,0,806,2,0.637681,0.715909,17.701984,0.225467,0.225466,0.48538,0.039449,0,0,0.48538,83,0.649145
45,Lord Voldemort,,The antagonist of the series who murdered many.,10,0,747,2,0.564103,0.613636,0.420635,0.16198,0.161981,0.911111,0.021455,0,0,0.911111,41,0.465454
36,Minerva McGonagall,,Professor of Transfiguration and head of Gryffindor.,12,0,525,2,0.578947,0.636364,2.751587,0.171721,0.171722,0.727273,0.025573,0,0,0.727273,48,0.494254
47,Severus Snape,,Head of the Slytherin house and saved Harry in many occasions.,16,0,1039,2,0.611111,0.681818,9.576984,0.208365,0.208365,0.616667,0.033257,0,0,0.616667,74,0.59925
3,Cho Chang,,Ravenclaw student who dated Cedric Diggory and Harry Potter.,9,0,509,2,0.556962,0.602273,2.183333,0.128591,0.128592,0.75,0.020515,0,0,0.75,27,0.370941
31,Remus Lupin,,Friend of James Potter and werewolf. He married Nymphadora.,9,0,524,2,0.556962,0.602273,1.659524,0.135597,0.135599,0.805556,0.02013,0,0,0.805556,29,0.390754
29,Luna Lovegood,,Ravenclaw student who was a member of Dumbledore's army.,10,0,570,2,0.564103,0.613636,3.85119,0.140101,0.140102,0.688889,0.022721,0,0,0.688889,31,0.404195
41,Lily Potter,,Mother of Harry. Murdered by Voldemort.,11,0,490,2,0.571429,0.625,6.708333,0.155159,0.155161,0.672727,0.024826,0,0,0.672727,37,0.447055
18,Cornelius Fudge,,Minister of Magic that was forced to resign.,11,0,526,2,0.571429,0.625,3.692857,0.151886,0.151887,0.672727,0.024147,0,0,0.672727,37,0.438117
12,Dudley Dursley,,Muggle son of Vernon and Petunia and first-cousin of Harry.,4,2,243,3,0.517647,0.541667,1,0.042433,0.042433,0.666667,0.013512,0,0,0.666667,4,0.125086
48,Nymphadora Tonks,,Married Remus Lupin and was killed by Bellatrix.,7,0,295,2,0.54321,0.579545,0.142857,0.118858,0.118859,0.952381,0.016137,0,0,0.952381,20,0.34257
14,Vernon Dursley,,Harry's muggle uncle.,3,2,242,3,0.511628,0.530303,0,0.027225,0.027226,1,0.011379,0,0,1,3,0.081491
