Id,Label,timeset,bio,Degree,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,stat_inf_class,clustering,triangles,eigencentrality
13,Petunia Dursley,,Harry's aunt and sister of Lily.,3,2,217,3,0.511628,0.530303,0,0.027225,0.027226,1,0.011379,0,0,1,3,0.081491
16,Seamus Finnigan,,Harry's friend and member of Dumbledore's army.,5,0,190,2,0.53012,0.556818,0,0.093398,0.0934,1,0.012461,0,0,1,10,0.269686
25,Bellatrix Lestrange,,Death Eater who was killed by Molly Weasley.,6,0,196,2,0.536585,0.568182,0.066667,0.105537,0.105539,0.933333,0.014171,0,0,0.933333,14,0.303664
61,Hedwig,,Harry's owl.,3,0,146,2,0.517647,0.534091,0,0.063858,0.063859,1,0.008913,0,0,1,3,0.185413
5,Vincent Crabbe,,Slytherin student who was best friends with Goyle and followed Draco.,5,0,210,2,0.53012,0.556818,0,0.084669,0.084671,1,0.012782,0,0,1,10,0.245406
57,Percy Weasley,,Third son of Arthur and Molly. He is a Gryffindor prefect.,5,0,153,2,0.53012,0.556818,0,0.090044,0.090045,1,0.012558,0,0,1,10,0.26051
9,Cedric Diggory,,Participated in the Triwizard tournament and got killed by Voldemort.,4,0,139,2,0.52381,0.545455,0,0.072307,0.072308,1,0.01085,0,0,1,6,0.209825
15,Argus Filch,,Squib caretake of Hogwards.,5,1,107,2,0.53012,0.556818,0.142857,0.074846,0.074847,0.9,0.012664,0,0,0.9,9,0.216344
20,Gregory Goyle,,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,6,0,208,2,0.536585,0.568182,0.2,0.091291,0.091292,0.933333,0.014857,0,0,0.933333,14,0.264683
40,James Potter,,Father of Harry. Murdered by Voldemort.,5,0,216,3,0.52381,0.55303,0.142857,0.073145,0.073146,0.9,0.012626,0,0,0.9,9,0.210817
33,Lucius Malfoy,,Father of Draco and influential Death-Eater.,6,0,146,2,0.536585,0.568182,0.066667,0.102183,0.102184,0.933333,0.014267,0,0,0.933333,14,0.294488
59,Dobby,,House elf and friend of Harry. He is killed by Bellatrix.,2,0,58,3,0.505747,0.518939,0,0.032843,0.032843,1,0.007197,0,0,1,1,0.095666
64,Grawp,,Giant-half brother of Hagrid.,3,0,95,2,0.517647,0.534091,0,0.05207,0.052071,1,0.009061,0,0,1,3,0.151478
2,Lavender Brown,,Killed by a werewolf. She was a gryffindor student who dated Ron.,3,0,144,2,0.517647,0.534091,0,0.063858,0.063859,1,0.008913,0,0,1,3,0.185413
32,Draco Malfoy,,Slytherin student who had many arguments with Harry.,7,0,171,2,0.54321,0.579545,0.525,0.107403,0.107404,0.857143,0.016516,0,0,0.857143,18,0.310612
49,Dolores Janes Umbridge,,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,6,0,103,2,0.536585,0.568182,0.125,0.094184,0.094185,0.933333,0.014318,0,0,0.933333,14,0.271585
50,Arthur Weasley,,Father of the Weasleys and member of the Order of the Phoenix.,3,0,91,2,0.517647,0.534091,0,0.061184,0.061185,1,0.008858,0,0,1,3,0.177062
46,Rita Skeeter,,Reporter at the Daily Prophet.,3,0,68,2,0.517647,0.534091,0,0.052231,0.052232,1,0.009025,0,0,1,3,0.151824
30,Xenophilius Lovegood,,Father of Luna and editor of The Quibbler.,4,0,107,2,0.52381,0.545455,0,0.073063,0.073064,1,0.010844,0,0,1,6,0.211967
51,Bill Weasley,,Oldest son of Arthur and Molly. Husband of Fleur.,3,1,51,2,0.517647,0.534091,0,0.055327,0.055328,1,0.008926,0,0,1,3,0.160363
56,Molly Weasley,,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,3,0,36,2,0.517647,0.534091,0,0.061184,0.061185,1,0.008858,0,0,1,3,0.177062
35,Olympe Maxime,,Half-giantess and headmistress of Beauxbatons.,3,0,34,3,0.483516,0.511364,0,0.050253,0.050254,1,0.008934,0,0,1,3,0.145229
60,Fluffy,,Three-headed dog belonging to Rubeus Hagrid.,1,0,10,3,0.5,0.507576,0,0.022649,0.022649,0,0.005279,0,0,0,0,0.066392
